"Country or Area","Year","Value","Value Footnotes"
"China","2021","109767",""
"China","2020","106235",""
"China","2019","102462",""
"China","2018","96353",""
"China","2017","93742",""
"China","2016","91675",""
"China","2015","89966",""
"China","2014","85320",""
"China","2013","79306",""
"China","2012","85843",""
"China","2011","72487",""
"China","2010","66239",""
"China","2009","65491",""
"China","2008","60809",""
"China","2007","63636.5",""
"China","2006","63411.7",""
"China","2005","62200",""
"China","2004","61015",""
"China","2003","60446",""

